
1	1	1	1	1	1	1	328.474	322.525	312.231	324.633	322.516	316.055	316.163	320.332	310.874	321.657	317.866	313.474	325.086	320.98	323.047	317.987	320.191	313.92	320.655	322.974	317.039	324.548	325.856	316.322	323.556	319.77	321.009	316.641	326.669	318.709	324.792	320.506	324.652	319.47	318.654	311.819	371.638	367.024	374.747	372.785	366.611	368.228	
2	1	1	1	1	1	1	328.473	322.525	312.23	324.632	322.516	316.055	316.163	320.332	310.873	321.655	317.864	313.473	325.084	320.978	323.046	317.987	320.19	313.919	320.656	322.973	317.038	324.547	325.854	316.32	323.556	319.77	321.009	316.642	326.668	318.709	324.791	320.506	324.652	319.467	318.654	311.817	371.637	367.024	374.747	372.784	366.611	368.227	
3	1	1	1	1	1	1	328.472	322.524	312.229	324.631	322.516	316.055	316.163	320.332	310.873	321.655	317.863	313.473	325.083	320.978	323.046	317.987	320.189	313.919	320.656	322.973	317.038	324.547	325.854	316.32	323.556	319.77	321.009	316.641	326.667	318.708	324.791	320.506	324.651	319.467	318.653	311.817	371.637	367.024	374.746	372.784	366.611	368.227	
4	1	1	1	1	1	1	328.472	322.524	312.229	324.631	322.515	316.054	316.163	320.331	310.872	321.655	317.863	313.473	325.083	320.978	323.045	317.986	320.189	313.918	320.656	322.972	317.037	324.547	325.854	316.319	323.556	319.769	321.008	316.641	326.667	318.708	324.79	320.506	324.651	319.467	318.653	311.816	371.637	367.023	374.746	372.783	366.61	368.227	
5	1	1	1	1	1	1	328.471	322.523	312.228	324.631	322.515	316.054	316.162	320.331	310.872	321.654	317.863	313.472	325.083	320.977	323.045	317.986	320.189	313.918	320.655	322.972	317.037	324.546	325.853	316.319	323.555	319.769	321.008	316.64	326.667	318.708	324.79	320.505	324.651	319.466	318.653	311.816	371.637	367.023	374.745	372.783	366.61	368.226	
6	1	1	1	1	1	1	328.471	322.523	312.228	324.63	322.515	316.053	316.162	320.331	310.872	321.654	317.862	313.472	325.082	320.977	323.045	317.985	320.188	313.918	320.655	322.972	317.036	324.546	325.853	316.319	323.555	319.769	321.008	316.64	326.666	318.707	324.789	320.505	324.65	319.466	318.652	311.816	371.636	367.023	374.745	372.783	366.61	368.226	
7	1	1	1	1	1	1	328.47	322.523	312.227	324.63	322.514	316.053	316.161	320.33	310.871	321.653	317.862	313.471	325.082	320.976	323.044	317.985	320.188	313.917	320.654	322.971	317.036	324.546	325.852	316.318	323.555	319.768	321.007	316.64	326.666	318.707	324.789	320.504	324.65	319.466	318.652	311.815	371.636	367.023	374.745	372.783	366.61	368.226	
8	1	1	1	1	1	1	328.47	322.522	312.227	324.63	322.514	316.053	316.161	320.33	310.871	321.653	317.861	313.471	325.081	320.976	323.044	317.985	320.187	313.917	320.654	322.971	317.035	324.545	325.852	316.318	323.554	319.768	321.007	316.639	326.665	318.707	324.788	320.504	324.65	319.465	318.652	311.815	371.636	367.022	374.744	372.782	366.609	368.226	
9	1	1	1	1	1	1	328.469	322.522	312.227	324.629	322.513	316.052	316.161	320.33	310.87	321.653	317.861	313.471	325.081	320.976	323.043	317.984	320.187	313.916	320.654	322.971	317.035	324.545	325.851	316.317	323.554	319.768	321.006	316.639	326.665	318.706	324.788	320.504	324.649	319.465	318.651	311.815	371.636	367.022	374.744	372.782	366.609	368.226	
10	1	1	1	1	1	1	328.469	322.521	312.226	324.629	322.513	316.052	316.16	320.329	310.87	321.652	317.86	313.47	325.081	320.975	323.043	317.984	320.186	313.916	320.653	322.97	317.034	324.545	325.851	316.317	323.554	319.767	321.006	316.638	326.664	318.706	324.787	320.503	324.649	319.464	318.651	311.814	371.635	367.022	374.744	372.782	366.609	368.225	
11	1	1	1	1	1	1	328.468	322.521	312.226	324.629	322.513	316.051	316.16	320.329	310.869	321.652	317.86	313.47	325.08	320.975	323.043	317.984	320.186	313.916	320.653	322.97	317.034	324.544	325.85	316.316	323.553	319.767	321.006	316.638	326.664	318.706	324.787	320.503	324.649	319.464	318.651	311.814	371.635	367.022	374.743	372.782	366.609	368.225	
12	1	1	1	1	1	1	328.468	322.521	312.225	324.628	322.512	316.051	316.159	320.329	310.869	321.651	317.86	313.47	325.08	320.975	323.042	317.983	320.186	313.915	320.652	322.97	317.033	324.544	325.85	316.316	323.553	319.766	321.005	316.637	326.663	318.705	324.787	320.503	324.648	319.464	318.65	311.814	371.635	367.021	374.743	372.781	366.608	368.225	
13	1	1	1	1	1	1	328.468	322.52	312.225	324.628	322.512	316.051	316.159	320.328	310.869	321.651	317.859	313.469	325.079	320.974	323.042	317.983	320.185	313.915	320.652	322.969	317.033	324.544	325.85	316.315	323.552	319.766	321.005	316.637	326.663	318.705	324.786	320.502	324.648	319.463	318.65	311.813	371.635	367.021	374.743	372.781	366.608	368.224	
14	1	1	1	1	1	1	328.467	322.52	312.224	324.628	322.512	316.05	316.159	320.328	310.868	321.651	317.859	313.469	325.079	320.974	323.042	317.983	320.185	313.914	320.652	322.969	317.032	324.543	325.849	316.315	323.552	319.766	321.005	316.636	326.663	318.705	324.786	320.502	324.648	319.463	318.649	311.813	371.634	367.021	374.742	372.781	366.608	368.224	
15	1	1	1	1	1	1	328.467	322.519	312.224	324.627	322.511	316.05	316.158	320.328	310.868	321.65	317.858	313.468	325.078	320.974	323.041	317.982	320.184	313.914	320.651	322.968	317.032	324.543	325.849	316.314	323.552	319.765	321.004	316.636	326.662	318.704	324.785	320.501	324.647	319.463	318.649	311.812	371.634	367.021	374.742	372.781	366.608	368.224	
16	1	1	1	1	1	1	328.466	322.519	312.223	324.627	322.511	316.049	316.158	320.327	310.867	321.65	317.858	313.468	325.078	320.973	323.041	317.982	320.184	313.914	320.651	322.968	317.031	324.542	325.848	316.314	323.551	319.765	321.004	316.635	326.662	318.704	324.785	320.501	324.647	319.462	318.649	311.812	371.634	367.02	374.741	372.78	366.607	368.224	
17	1	1	1	1	1	1	328.466	322.518	312.223	324.627	322.51	316.049	316.157	320.327	310.867	321.649	317.857	313.468	325.078	320.973	323.04	317.981	320.184	313.913	320.65	322.968	317.031	324.542	325.848	316.314	323.551	319.765	321.003	316.635	326.661	318.703	324.784	320.501	324.647	319.462	318.648	311.812	371.633	367.02	374.741	372.78	366.607	368.223	
